#X	Y	Z	HWP_power	HWP_stepper	pmtA_signal	pmtB_signal	time
28.6894	39.6949	30.0015	0.0	358.015695	0.0006103885	0.0103625677	1526483385.4168303
28.6865	39.6929	29.9998	0.0	-0.0	0.0006465874	0.0098098225	1526483387.2379346
28.6873	39.6979	30.0014	0.0	2.017937	0.0006413632	0.0085323619	1526483387.4569468
28.6887	39.6961	30.0019	0.0	3.979821	0.0006086891	0.0094883474	1526483387.6549582
28.6883	39.6951	30.0021	0.0	5.997758	0.0006483191	0.0083494002	1526483387.8499694
28.6877	39.6932	29.9975	0.0	8.015695	0.0005545783	0.0071619125	1526483388.0589814
28.6882	39.6918	29.9987	0.0	9.977578	0.0005951141	0.0079979515	1526483388.2569928
28.6881	39.6906	29.9998	0.0	11.995516	0.0005654789	0.0064428719	1526483388.467005
28.6867	39.6947	29.9992	0.0	14.013453	0.0006147346	0.0067069974	1526483388.6660163
28.6881	39.6955	29.999	0.0	15.975336	0.0006535787	0.0060917477	1526483388.8620274
28.6878	39.6968	30.0017	0.0	17.993274	0.000582528	0.0057368971	1526483389.0600386
28.6881	39.6965	30.0023	0.0	20.011211	0.0006758043	0.0056542446	1526483389.2760513
28.6873	39.693	30.0019	0.0	21.973094	0.0006461599	0.0045967904	1526483389.5140646
28.6881	39.6939	30.0	0.0	23.991031	0.0006073204	0.0054930795	1526483389.7370775
28.6884	39.6921	30.0007	0.0	26.008969	0.0005999216	0.0047041231	1526483389.9460895
28.6876	39.6941	30.0002	0.0	28.026906	0.0006108175	0.0047436039	1526483390.1451008
28.6887	39.6972	30.0006	0.0	29.988789	0.0007137134	0.0050620925	1526483390.3701136
28.6875	39.6954	30.0006	0.0	32.006726	0.0006670722	0.0050324819	1526483390.567125
28.6874	39.6962	30.0013	0.0	34.024664	0.000618204	0.0043869141	1526483390.7711365
28.6885	39.6946	30.0013	0.0	35.986547	0.0006299966	0.0043013211	1526483390.9811487
28.6873	39.6926	29.9984	0.0	38.004484	0.0006509504	0.0048078125	1526483391.18116
28.6873	39.6978	30.0029	0.0	40.022422	0.0005781265	0.0048696174	1526483391.442175
28.6881	39.6927	29.9992	0.0	41.984305	0.0006047629	0.0047965843	1526483391.6471868
28.6875	39.6922	29.9995	0.0	44.002242	0.0006243541	0.0052628629	1526483391.8681993
28.6884	39.6952	30.0013	0.0	46.020179	0.0005772576	0.0061683271	1526483392.0622103
28.6881	39.6948	29.9999	0.0	47.982063	0.0006439807	0.0061309424	1526483392.2832232
28.6871	39.6946	30.0012	0.0	50.0	0.0007028451	0.0064793	1526483392.494235
28.6871	39.6898	29.9987	0.0	52.017937	0.0005149022	0.0063533987	1526483392.717248
28.6877	39.6972	30.0017	0.0	53.979821	0.0006618833	0.0078258397	1526483392.946261
28.6868	39.6941	30.0007	0.0	55.997758	0.0006814715	0.0083712429	1526483393.1432722
28.6894	39.695	30.0018	0.0	58.015695	0.0006823604	0.0085393224	1526483393.3402834
28.6866	39.6963	30.0009	0.0	59.977578	0.000659232	0.0093401252	1526483393.5622964
28.6867	39.6924	29.9969	0.0	61.995516	0.0006335092	0.0103187146	1526483393.765308
28.687	39.6944	29.9994	0.0	64.013453	0.0006147515	0.0115797936	1526483393.9643192
28.6873	39.6943	29.9989	0.0	65.975336	0.0006971487	0.0122772161	1526483394.2163336
28.6866	39.6931	29.9987	0.0	67.993274	0.0006274222	0.0112673105	1526483394.4233453
28.6882	39.692	30.0002	0.0	70.011211	0.0005837768	0.01353346	1526483394.6683595
28.6886	39.6943	30.001	0.0	71.973094	0.0006208677	0.0137298521	1526483394.8743713
28.688	39.6952	29.9998	0.0	73.991031	0.0007093704	0.0138907019	1526483395.0813832
28.6882	39.6921	29.9996	0.0	76.008969	0.000825832	0.0140976178	1526483395.2873948
28.6873	39.6973	30.0009	0.0	78.026906	0.00063346	0.0114876861	1526483395.516408
28.6877	39.6942	29.9996	0.0	79.988789	0.0006400683	0.0130055241	1526483395.7204196
28.6876	39.6911	29.999	0.0	82.006726	0.0006457416	0.0126948342	1526483395.9284315
28.6873	39.6956	30.0021	0.0	84.024664	0.0006308886	0.0119487082	1526483396.126443
28.689	39.6971	30.0001	0.0	85.986547	0.0006984698	0.0110226639	1526483396.321454
28.6887	39.6956	30.001	0.0	88.004484	0.0005659203	0.0104977316	1526483396.5164652
28.6885	39.6969	30.0017	0.0	90.022422	0.0006334984	0.009879749	1526483396.7124765
28.687	39.6932	29.9999	0.0	91.984305	0.0006675228	0.0095908741	1526483396.917488
28.6877	39.6985	30.0005	0.0	94.002242	0.0006064545	0.0081022023	1526483397.1285002
28.6883	39.6928	29.9994	0.0	96.020179	0.0005620109	0.006615342	1526483397.3275115
28.6883	39.6931	29.9988	0.0	97.982063	0.0006055979	0.0078302473	1526483397.5205226
28.6873	39.6937	29.9988	0.0	100.0	0.0007338091	0.0066470872	1526483397.7225342
28.688	39.6947	30.0003	0.0	102.017937	0.0005262457	0.0050086537	1526483397.9505472
28.6881	39.6961	30.0021	0.0	103.979821	0.0006331047	0.0062199988	1526483398.1475585
28.6874	39.6924	29.9988	0.0	105.997758	0.0006836337	0.0061109759	1526483398.35057
28.6875	39.6926	29.9998	0.0	108.015695	0.0006849763	0.0035115065	1526483398.557582
28.6885	39.6975	30.0005	0.0	109.977578	0.0006448573	0.0056889733	1526483398.752593
28.6881	39.6917	29.9983	0.0	111.995516	0.0006138918	0.0053258105	1526483398.964605
28.6882	39.6958	30.0009	0.0	114.013453	0.0006583415	0.0046966966	1526483399.171617
28.6883	39.6933	30.0011	0.0	115.975336	0.0006614142	0.0043677181	1526483399.39463
28.6874	39.6955	29.9989	0.0	117.993274	0.0006138764	0.0038876276	1526483399.6346436
28.686	39.6931	29.9992	0.0	120.011211	0.0006234575	0.004134498	1526483399.8666568
28.6878	39.6965	30.0011	0.0	121.973094	0.0005524191	0.0050686439	1526483400.0616682
28.6892	39.6934	29.9974	0.0	123.991031	0.0006374354	0.0052415154	1526483400.2596793
28.6878	39.6949	30.0017	0.0	126.008969	0.000680132	0.0036904574	1526483400.4716916
28.6888	39.6922	29.9996	0.0	128.026906	0.0005205847	0.0055943682	1526483400.6687026
28.6859	39.6937	29.9997	0.0	129.988789	0.0005755398	0.0055143163	1526483400.8737144
28.6878	39.6943	30.0019	0.0	132.006726	0.0005811962	0.0047245479	1526483401.0687256
28.6874	39.6923	30.0005	0.0	134.024664	0.0006029758	0.0055486666	1526483401.2727373
28.6871	39.6928	29.9975	0.0	135.986547	0.0005506782	0.0054686577	1526483401.4867494
28.6886	39.6964	30.0034	0.0	138.004484	0.0006051612	0.0069469058	1526483401.6817605
28.6881	39.6955	30.0	0.0	140.022422	0.0006610344	0.0067535356	1526483401.878772
28.688	39.6963	30.0011	0.0	141.984305	0.0007010919	0.0076351609	1526483402.074783
28.6877	39.6947	29.9995	0.0	144.002242	0.0006771023	0.0087736005	1526483402.2777948
28.6875	39.6933	29.9992	0.0	146.020179	0.0005423844	0.0089286986	1526483402.4838064
28.6874	39.6937	29.9988	0.0	147.982063	0.0006417584	0.0096990742	1526483402.6928184
28.6884	39.6955	30.0012	0.0	150.0	0.00066883	0.0110183425	1526483402.8938298
28.6892	39.698	30.0025	0.0	152.017937	0.0006561885	0.0112928995	1526483403.104842
28.689	39.6991	30.0023	0.0	153.979821	0.0006570712	0.0113589121	1526483403.3018532
28.6872	39.6941	30.001	0.0	155.997758	0.0006657557	0.0113115926	1526483403.5038648
28.6879	39.6962	30.0007	0.0	158.015695	0.0007342366	0.0119712614	1526483403.7078767
