#X	Y	Z	HWP_power	HWP_stepper	pmtA_signal	pmtB_signal	time
24.7725	77.4273	27.0007	3.000039	358.0	0.0003890301	0.0340570981	1527010905.4929676
24.7713	77.4252	27.0002	3.000039	-0.015695	0.0004617757	0.0292054696	1527010907.6650918
24.7726	77.4281	27.0015	3.000039	2.002242	0.0004352483	0.0352604743	1527010907.931107
24.771	77.4274	26.9993	3.000039	4.020179	0.0004138946	0.0303778284	1527010908.2211237
24.7717	77.4262	26.9995	3.000039	5.982063	0.0004555805	0.0294275287	1527010908.4991395
24.7712	77.4246	26.9995	3.000039	8.0	0.0004824142	0.0313735698	1527010908.8101573
24.7727	77.4232	26.9992	3.000039	10.017937	0.0004414165	0.0313217491	1527010909.0771728
24.7724	77.4323	27.0018	3.000039	11.979821	0.0004764234	0.0325032232	1527010909.3311872
24.7717	77.4263	26.9989	3.000039	13.997758	0.0004472176	0.0330639552	1527010909.5602002
24.7712	77.4283	27.0029	3.000039	16.015695	0.0004374417	0.0327254168	1527010909.7962139
24.7726	77.426	27.0018	3.000039	17.977578	0.0004704929	0.0354397158	1527010910.0322273
24.771	77.4215	26.9991	3.000039	19.995516	0.0004281996	0.0329065582	1527010910.3142433
24.7723	77.4284	27.0002	3.000039	22.013453	0.0004779005	0.0317649701	1527010910.6312616
24.7712	77.4243	26.9982	3.000039	23.975336	0.0004296311	0.0339813953	1527010910.884276
24.7715	77.427	26.9975	3.000039	25.993274	0.0004215181	0.0325413661	1527010911.1702924
24.7712	77.4249	26.9986	3.000039	28.011211	0.0004644426	0.0325195056	1527010911.4723098
24.7717	77.4263	27.0002	3.000039	29.973094	0.0004820432	0.0294539516	1527010911.7123234
24.7715	77.4269	27.0004	3.000039	31.991031	0.0004936447	0.0332796384	1527010912.00134
24.7732	77.4255	26.9997	3.000039	34.008969	0.0004120447	0.0292381691	1527010912.2413538
24.773	77.4277	27.0009	3.000039	36.026906	0.000440513	0.0287949481	1527010912.5633721
24.7713	77.4244	26.9986	3.000039	37.988789	0.0004087689	0.0318214236	1527010912.8463883
24.7712	77.4287	26.9999	3.000039	40.006726	0.0004532391	0.032430484	1527010913.1104033
24.7715	77.422	26.9986	3.000039	42.024664	0.0004406924	0.0328654997	1527010913.3694181
24.7714	77.4264	26.9982	3.000039	43.986547	0.0004580206	0.0353596685	1527010913.6034317
24.7715	77.4231	26.9967	3.000039	46.004484	0.0004004336	0.0310569335	1527010913.8454454
24.7713	77.4271	27.0016	3.000039	48.022422	0.0004171312	0.0336929025	1527010914.0914595
24.7716	77.4273	27.0017	3.000039	49.984305	0.0004403227	0.0362125299	1527010914.343474
24.7711	77.4247	26.9995	3.000039	52.002242	0.0004135133	0.0377546496	1527010914.6124892
24.7717	77.425	26.9987	3.000039	54.020179	0.0003986317	0.0369043834	1527010914.8465025
