#X	Y	Z	HWP	pmt_signal	pmt1_signal	time
60.0005	40.0	50.0005	0.0	0.000936	5.2e-05	1523464728.127105
60.0192	39.9922	-0.0434	0.0	6.6e-05	5.2e-05	1523464728.255112
60.0098	39.9959	0.9968	0.0	0.000105	1.7e-05	1523464728.310115
60.0084	39.9966	2.004	0.0	0.000136	1.7e-05	1523464728.362118
60.0074	39.9976	3.0083	0.0	7.3e-05	1.7e-05	1523464728.413121
60.0066	39.9968	4.0115	0.0	0.000122	3.5e-05	1523464728.461123
60.006	39.997	5.0157	0.0	9.6e-05	3.5e-05	1523464728.510127
60.0048	39.9988	6.0151	0.0	0.000101	3.5e-05	1523464728.56313
60.0057	39.9975	7.021	0.0	0.000176	3.5e-05	1523464728.616132
60.001	39.9986	8.0197	0.0	0.000161	1.7e-05	1523464728.684136
60.0056	39.9978	9.0236	0.0	0.000133	1.7e-05	1523464728.73614
60.0034	39.9981	10.0243	0.0	8.9e-05	3.5e-05	1523464728.786142
60.0032	39.9986	11.0262	0.0	0.000119	3.5e-05	1523464728.833145
60.0047	39.9982	12.0287	0.0	0.000175	3.5e-05	1523464728.886148
60.0052	39.9969	13.0304	0.0	9.6e-05	3.5e-05	1523464728.935151
60.0029	39.9976	14.0332	0.0	0.000236	3.5e-05	1523464728.981153
60.0046	39.9975	15.0338	0.0	0.000192	3.5e-05	1523464729.029156
60.0026	39.9978	16.0348	0.0	0.000208	3.5e-05	1523464729.080159
60.0029	39.999	17.0349	0.0	0.000263	3.5e-05	1523464729.131162
60.0044	39.9984	18.0391	0.0	7.2e-05	1.7e-05	1523464729.184165
60.0044	39.9979	19.0403	0.0	0.000306	1.7e-05	1523464729.233168
60.0025	39.999	20.0392	0.0	0.000175	3.5e-05	1523464729.288171
60.0053	39.9985	21.0423	0.0	0.000189	3.5e-05	1523464729.340174
60.0022	39.9996	22.0416	0.0	0.000138	1.7e-05	1523464729.389177
60.0016	39.9983	23.0445	0.0	0.000258	1.7e-05	1523464729.436179
60.0042	39.9989	24.048	0.0	0.000122	3.5e-05	1523464729.482182
60.0008	39.9995	25.0294	0.0	0.000178	1.7e-05	1523464729.545186
60.0028	39.9984	26.0435	0.0	0.000236	1.7e-05	1523464729.593188
60.0038	39.9995	27.0459	0.0	8.7e-05	3.5e-05	1523464729.642191
60.0028	39.9977	28.0497	0.0	0.000246	5.2e-05	1523464729.688194
60.0008	39.9987	29.0517	0.0	0.000408	1.7e-05	1523464729.734196
60.0034	39.9986	30.052	0.0	0.000244	1.7e-05	1523464729.786199
60.0006	39.9994	31.0436	0.0	0.000447	1.7e-05	1523464729.841203
60.0039	39.9983	32.0521	0.0	0.000426	3.5e-05	1523464729.891205
